sprite_table {
 blueplate_00 1
 blueplate_01 2
 blueplate_02 3
 blueplate_16 4
 blueplate_04 5
 blueplate_07 6
 blueplate_20 7
 blueplate_19 8
 blueplate_06 9
 blueplate_18 10
 blueplate_03 11
 blueplate_23 12
 blueplate_11 13
 blueplate_10 14
 blueplate_09 15
 blueplate_17 16
 blueplate_accelW 17
 blueplate_15 18
 blueplate_13 19
 blueplate_14 20
 blueplate_08 21
 wall_arc_01 22
 wall_arc_02 23
 wall_arc_03 24
 wall_tech_44 25
 shadow_fix_02 26
 shadow_fix_01 27
 wall_tech_48 28
 wall_tech_36 29
 tech_light 30
 wall_stoneA_15 31
 metal_ramp_01 32
 metal_ramp_02 33
 wall_metalA_03 34
 wall_tech_37 35
 crane10 36
 crane_platform 37
 crane15 38
 crane09 39
 metal_fatpipe_04 40
 metal_fatpipe_09 41
 metal_fatpipe_10 42
 metal_pipe_09 43
 metal_pipejoint_03 44
 metal_pipe_08 45
 metal_pipe_03 46
 crane08 47
 wall_stoneA_02 48
 wall_stoneA_04 49
 metal_fatpipe_07 50
 metal_fatpipe_03 51
 metal_grate 52
 metal_fatpipe_01 53
 metal_fatpipe_08 54
 wall_stoneA_03 55
 wall_tech_41 56
 wall_stoneA_05 57
 pipeend_1 58
 metal_pipe_01 59
 metal_pipejoint_02 60
 metal_ramp_03 61
 metal_frame 62
 metal_fatpipe_02 63
 wall_tech_46 64
 wall_tech_11 65
 wall_tech_07 66
 wall_tech_40 67
 wall_tech_42 68
 wall_metalA_02 69
 metal_pipeend 70
 wall_metalA_01 71
 wall_tech_43 72
 wall_tech_06 73
 wall_stoneA_00 74
 bigcogwheel 75
 pistyV 76
 wall_tech_20 77
 wall_stoneA_01 78
 wall_tech_38 79
 wall_tech_10 80
 wall_tech_34 81
 pipeend_2 82
 comp05 83
 columnA_top 84
 wall_metalA_00 85
 brownpipe2 86
 pistyH 87
 comp03 88
 comp02 89
 comp04a 90
 comp04b 91
 columnA_bottom 92
 wall_tech_31 93
 wall_tech_18 94
 teleIN_up 95
 comp01 96
 comp06 97
 wall_tech_14 98
 wall_tech_33 99
 wall_tech_35 100
 cogwheelA 101
 redwall_07 102
 wall_green_25a 103
 wall_green_25b 104
 brownpipe1 105
 wall_tech_47 106
 tech_light_3 107
 redwall_06 108
 wall_noidea_12 109
 wall_noidea_13 110
 dirt_top 111
 wall_stoneA_06 112
 wall_stoneA_07 113
 wall_stoneA_08 114
 sign/stripe2 115
 wall_stoneA_11 116
 wall_stoneA_12 117
 wall_stoneA_13 118
 teleOUT_up 119
 wall_tech_05 120
 wall_tech_21 121
 wall_tech_26 122
 wall_tech_22 123
 wall_tech_29 124
 wall_tech_27 125
 wall_tech_39 126
 wall_tech_25 127
 wall_tech_28 128
 wall_tech_23 129
 wall_tech_32 130
 mandi 131
 halfplate_04 132
 halfplate_02 133
 halfplate_06 134
 sign/nuke 135
 sign/gaugeB 136
 sign/stripe1 137
 sign/gaugeA 138
 sign/eye 139
 sign/electricity 140
 sign/info 141
 sign/stripe4 142
 bigframe_profa 143
 comp_sinus 144
 comp_eqalizer 145
 sign/exit 146
 comp_rocket 147
 comp_text1 148
 wall_tech_15 149
 metal_ring3 150
 wire_2N 151
 wire_2H 152
 metal_ring1 153
} // sprite_table

layers {
clear_screen true
layer // layer 0
name noname
offset 0 0
cells_offset -3040 0
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 124
height 21
no_cells
sprite_cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
