sprite_table {
 bgr/okr_05 1
 bgr/okr_06 2
 bgr/wall_brick 3
 bgr/pipe2 4
 bluetech_01 5
 bluetech_15 6
 bgr/okr_01 7
 bgr/pipe6 8
 bgr/pipe1 9
 bgr/pipe4 10
 bgr/wall_brick2 11
 bgr/grate 12
 bluetech_02 13
 bluetech_12 14
 bgr/plate_01 15
 bgr/okr_07 16
 bgr/okr_14 17
 bluetech_04 18
 bluetech_09 19
 bluetech_05 20
 bgr/plate_04 21
 bgr/plate_wire_1 22
 bluetech_10 23
 bgr/okr_13 24
 bgr/plate_08 25
 bgr/okr_02 26
 bgr/okr_04 27
 bgr/plate3 28
 bgr/plate_06 29
 bgr/mix_tech02 30
 bgr/diode01 31
 bgr/diode02 32
 bgr/diode04 33
 bgr/diode05H 34
 bgr/diode05V 35
 bgr/mix_futro04 36
 wall_stoneA_02 37
 wall_arc_01 38
 wall_arc_02 39
 wall_arc_03 40
 wall_stoneA_05 41
 crane02 42
 crane03 43
 crane_grab 44
 shadow_fix_01 45
 wall_half_01 46
 wall_tech_32 47
 wall_stoneA_00 48
 wall_stoneA_04 49
 shadow_fix_02 50
 wall_stoneA_09 51
 pipeend_3 52
 wall_tech_01 53
 wall_tech_05 54
 wall_tech_02 55
 wall_stoneA_03 56
 wall_tech_08 57
 wall_tech_44 58
 wall_tech_11 59
 wall_tech_07 60
 wall_tech_03 61
 columnA_top 62
 crane01 63
 crane04 64
 wall_tech_06 65
 columnA_middle 66
 metal_pipejoint_02 67
 metal_pipe_10 68
 wall_tech_10 69
 wall_tech_34 70
 wall_tech_36 71
 columnA_bottom 72
 metal_fatpipe_07 73
 wall_metalA_02 74
 wall_tech_21 75
 wall_tech_22 76
 wall_noidea_12 77
 wall_noidea_13 78
 wall_stoneA_06 79
 wall_stoneA_07 80
 wall_stoneA_08 81
 wall_tech_25 82
 wall_tech_23 83
 wall_tech_41 84
 metal_fatpipe_01 85
 metal_quadpipe 86
 metal_fatpipe_08 87
 wall_metalA_03 88
 wall_tech_18 89
 wall_tech_04 90
 wall_tech_43 91
 metal_fatpipe_10 92
 metal_fatpipe_03 93
 metal_pipeend 94
 metal_fatpipe_09 95
 comp04a 96
 comp04b 97
 teleIN_dn 98
 wall_stoneA_14 99
 wall_metalA_01 100
 comp02 101
 comp03 102
 wall_stoneA_11 103
 wall_stoneA_12 104
 wall_stoneA_13 105
 teleIN_up 106
 metal_fatpipe_02 107
 wall_stoneA_15 108
 wall_tech_15 109
 wall_green_25a 110
 wall_green_25b 111
 wall_tech_37 112
 wall_tech_46 113
 comp01 114
 comp05 115
 wall_tech_39 116
 wall_tech_45 117
 wall_tech_42 118
 comp06 119
 tech_light 120
 metal_ring3 121
 sign/number2 122
 sign/number3 123
 sign/storage 124
 sign/electricity 125
 comp_sinus 126
 comp_eqalizer 127
 comp_text1 128
 comp_text3 129
 monitorlineA 130
 sign/nuke 131
 sign/gaugeA 132
 sign/info 133
 sign/lab 134
 sign/number4 135
 sign/number5 136
 sign/number6 137
 sign/acid1 138
 sign/number1 139
 wire_2E 140
 wire_3S 141
 zabradli 142
 sign/stripe3 143
 sign/stripe4 144
} // sprite_table

layers {
clear_screen true
layer // layer 0
name noname
offset 0 0
cells_offset -40 240
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 30
height 17
no_cells
sprite_cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 3 0 4 0 3 0 0 0 3 0 0 0 0 0 
0 0 0 0 5 0 0 0 5 0 6 0 5 0 0 0 6 0 7 0 1 0 1 0 1 0 1 0 0 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 3 0 8 0 9 0 10 0 3 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 2 0 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 11 0 4 0 12 0 12 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 4 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 1 0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 13 0 14 0 13 0 0 0 0 0 0 0 0 0 0 0 15 0 15 0 15 0 0 0 0 0 15 0 15 0 15 0 0 0 0 0 0 0 
1 0 1 0 1 0 1 0 16 0 16 0 1 0 7 0 17 0 17 0 7 0 18 0 19 0 20 0 0 0 0 0 0 0 0 0 21 0 21 0 21 0 15 0 22 0 21 0 21 0 21 0 21 0 21 0 22 0 21 0 
0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 23 0 23 0 23 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 15 0 15 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 26 0 27 0 27 0 0 0 0 0 0 0 0 0 28 0 28 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 15 0 15 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 0 0 28 0 28 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 29 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 21 0 21 0 0 0 0 0 
decorations 16
209 649 30 0
223 649 30 0
450 615 31 0
203 336 32 0
212 657 31 0
183 646 33 0
421 583 33 0
245 342 33 0
134 634 34 0
453 579 34 0
413 659 34 0
132 370 34 0
511 632 35 0
227 651 35 0
279 601 36 0
319 601 36 0

layer // layer 1
name noname
offset 15 15
cells_offset -80 240
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 31
height 18
shadow
cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
