sprite_table {
 bgr/wall_brick 1
 bgr/column1 2
 cogwheelA 3
 bigcogwheel 4
 pistyH 5
 bgr/column2 6
 bluetech_01 7
 bgr/column3 8
 bgr/wall_brick2 9
 bgr/plate4 10
 bluetech_14 11
 bgr/plate_01 12
 bgr/plate_08 13
 bgr/wire2 14
 bgr/plate_02 15
 bgr/plate_10 16
 bgr/hugepipe01 17
 bgr/hugepipe02 18
 bgr/bulkhead 19
 bgr/plate3 20
 bgr/hugepipe04 21
 bgr/win2 22
 bgr/wire1 23
 bgr/hugepipe03 24
 bgr/plate_06 25
 bgr/pipe1 26
 bgr/pipe4 27
 bgr/plate_13 28
 bgr/pipe2 29
 bgr/plate_07 30
 bgr/grate 31
 bgr/futro_H 32
 bgr/win3 33
 bgr/pipe3 34
 bgr/pipe5 35
 bgr/plate2 36
 bgr/rig 37
 bgr/diode02 38
 bgr/diode03 39
 bgr/diode04 40
 bgr/diode05H 41
 bgr/diode05V 42
 wall_stoneA_02 43
 wall_stoneA_05 44
 wall_stoneA_14 45
 wall_metalA_01 46
 wall_metalA_03 47
 shadow_fix_01 48
 metal_pipe_04 49
 metal_pipe_08 50
 metal_pipe_03 51
 wall_stoneA_04 52
 shadow_fix_02 53
 wall_tech_08 54
 tile/deathray_E 55
 tile/deathray_W 56
 tile/deathray_S 57
 tile/deathray_N 58
 wall_tech_18 59
 wall_arc_01 60
 wall_arc_02 61
 wall_arc_03 62
 metal_pipe_05 63
 metal_pipe_09 64
 wall_tech_37 65
 wall_tech_38 66
 metal_pipejoint_04 67
 metal_pipeend 68
 pipeend_2 69
 metal_ramp_01 70
 metal_ramp_03 71
 wall_tech_05 72
 wall_tech_06 73
 spikes2_W 74
 spikes2_E 75
 spikes2_S 76
 spikes2_N 77
 wall_stoneA_06 78
 wall_stoneA_07 79
 wall_stoneA_08 80
 wall_stoneA_09 81
 wall_metalA_02 82
 metal_grate 83
 wall_stoneA_03 84
 wall_tech_01 85
 wall_tech_02 86
 metal_fatpipe_07 87
 metal_fatpipe_03 88
 wall_stoneA_00 89
 wall_tech_19 90
 wall_tech_34 91
 wall_tech_36 92
 wall_tech_32 93
 wall_stoneA_10 94
 wall_tech_04 95
 wall_tech_07 96
 wall_tech_03 97
 metal_pipe_01 98
 wall_tech_13 99
 metal_ramp_02 100
 wall_tech_21 101
 wall_tech_26 102
 wall_tech_22 103
 wall_tech_29 104
 wall_tech_20 105
 wall_tech_27 106
 wall_tech_25 107
 wall_tech_28 108
 wall_tech_23 109
 nobubble_field 110
 wall_green_25a 111
 wall_green_25b 112
 wall_tech_14 113
 wall_tech_17 114
 wall_tech_15 115
 wall_tech_11 116
 wall_tech_12 117
 metal_fatpipe_02 118
 wall_tech_10 119
 wall_stoneA_15 120
 sign/gaugeB 121
 sign/grate_round 122
 sign/nuke 123
 sign/gaugeA 124
 sign/stripe3 125
 metal_fatpipe_04 126
 wall_half_02 127
 wire_2E 128
 wire_3S 129
 wire_2S 130
 wire_3E 131
 wire_3W 132
 wire_2N 133
 wire_3N 134
 wire_2W 135
 nogumE 136
 nogumW 137
 wall_tech_09 138
 sign/bridge 139
 sign/eye 140
} // sprite_table

layers {
clear_screen true
layer // layer 0
name noname
offset 0 0
cells_offset -240 -240
scroll_scale_factor_1 1 1
scroll_scale_factor_2 1 1
cell_size 40 40
width 25
height 31
no_cells
sprite_cells
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 0 0 0 4 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8 0 9 0 10 0 9 0 9 0 9 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 7 0 11 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 12 0 12 0 13 0 12 0 12 0 0 0 0 0 0 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 14 0 0 0 7 0 0 0 
0 0 0 0 0 0 0 0 0 0 12 0 15 0 12 0 16 0 12 0 0 0 1 0 0 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 9 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 12 0 17 0 0 0 18 0 15 0 19 0 0 0 0 0 0 0 20 0 20 0 20 0 20 0 20 0 0 0 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 12 0 21 0 0 0 0 0 12 0 0 0 1 0 0 0 20 0 1 0 22 0 1 0 22 0 1 0 20 0 0 0 0 0 2 0 9 0 23 0 
0 0 0 0 0 0 0 0 0 0 12 0 0 0 24 0 0 0 12 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 20 0 1 0 0 0 6 0 9 0 23 0 
0 0 0 0 0 0 0 0 0 0 25 0 0 0 25 0 0 0 25 0 0 0 26 0 27 0 20 0 1 0 0 0 1 0 0 0 1 0 20 0 0 0 0 0 6 0 9 0 23 0 
0 0 0 0 0 0 0 0 0 0 28 0 0 0 15 0 28 0 0 0 19 0 9 0 29 0 20 0 0 0 0 0 0 0 0 0 0 0 20 0 1 0 0 0 6 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 1 0 29 0 20 0 1 0 0 0 1 0 0 0 9 0 20 0 0 0 0 0 8 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 12 0 12 0 12 0 12 0 30 0 0 0 0 0 29 0 0 0 20 0 20 0 20 0 20 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 29 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 29 0 31 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 26 0 26 0 26 0 27 0 20 0 0 0 0 0 0 0 0 0 0 0 32 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 0 0 0 9 0 29 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 29 0 1 0 1 0 0 0 23 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 23 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 0 29 0 9 0 0 0 0 0 32 0 32 0 0 0 29 0 1 0 0 0 0 0 0 0 0 0 0 0 26 0 27 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 0 29 0 33 0 0 0 1 0 0 0 9 0 9 0 29 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 29 0 9 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
9 0 29 0 0 0 0 0 0 0 0 0 34 0 26 0 35 0 1 0 0 0 9 0 1 0 0 0 2 0 9 0 29 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
